F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
271.78,-21.92,UK,-10.8,1899.57,17.98,-21749.82,91.94,855.61,10.01,Very low,3.74,-53.49,-167.19,1189.76,-69.12,-9449.54,-19614.36,-4.95,0.03,2219.37,-9.93,3,10791.43,41411.61,254.85,-512.54,2098.8,500.16,-6325.53,1.36,-33.14,177.34,-141.97,101.52,5,189.03
202.54,43.82,USA,-16.94,1941.57,-9.16,-27668.04,93.5,975.44,7.29,Medium,12.24,-58.8,-206.4,1524.06,-64.23,-21404.82,-26289.26,-14.22,0.15,1663.35,-6.17,4,-1537.7,31692.3,152.72,593.84,1668.7,434.97,-6172.05,2.59,-58.87,87.48,-154.11,623.22,6,187.17
220.26,88.9,Europe,-18.76,2298.12,-18.38,-11548.56,65.16,1114.28,12.05,Medium,6.92,-60.36,-172.34,1968.08,-73.56,-16023.8,-23594.4,-2.43,0.3,1480.98,-13.8,4,4559.11,34586.94,205.99,89.96,2604.56,252.93,-10132.68,2.94,-40.89,271,-279.84,284.96,2,1016.24
141,140.72,Europe,-19.86,-133.32,-57,-16200.96,-14,910.12,4.54,Low,34.94,-72.6,-121.17,2333.36,-93.45,-20489.7,-11022.6,3.36,55.14,2278.38,3.27,5,4255.64,24487.5,233.92,233.04,2595.56,154.83,-7862.04,0.86,-117.03,201.66,-153.93,532.19,4,-141.18
165.04,2.74,Europe,-21.34,3077.07,-20.5,-25683.06,29.08,216.24,10.1,Very low,33.42,-64.86,-146.01,1074.74,-92.88,-26195.62,-24764.28,23.76,0.81,2167.56,-17.73,6,7090.85,23275.08,288.68,-284.12,1066.8,316.68,-6093.81,3.59,-63.84,211.82,-182.34,373.14,5,33.17
247.64,26.68,Rest,-30.24,1868.22,-121.16,-10192.29,-9.68,428.42,9.07,Medium,18.9,-68.19,-139.67,1642.34,-80.34,-27462.2,-29989.38,-13.2,1.02,3802.2,-11.87,2,5591.2,14706.81,205.69,1956.24,1534.82,234.3,-6726.39,10.12,-132.5,223.08,-244.28,459.16,5,277.33
166.76,-31.92,Rest,-27.18,1580.46,-58.42,-27216.24,31.98,468.47,11.86,Medium,15.56,-56.61,-188.11,2376.1,-51.45,-6829.44,-22199.76,-6,0.09,1692.54,-6.6,3,3177.09,21157.35,275.08,1686.36,2638.66,227.46,-5038.29,6.52,1.74,209.94,-161.74,809.57,2,339.31
111.98,98.36,Rest,-26.14,2148.12,74.62,-39245.52,122.58,470.72,10.79,Very low,21.14,-51.6,-175.62,2262.82,-67.83,-14366.96,-9271.72,-11.58,43.86,2697.06,-1.68,5,4778.58,29684.76,226.45,726.6,1872.9,290.73,-3961.05,0.43,-26.74,171.4,-154.1,775.61,4,-4.52
200.42,-239.82,UK,-19.46,2030.43,-12.3,-27179.04,65.72,203.12,1.25,Very high,3.86,-65.34,-197.64,657.12,-73.95,-14294.96,-21393.6,-4.74,0.3,2776.71,-9.68,7,1771.98,30091.86,193.91,1826.54,1841.88,190.11,-6710.13,9.68,-26.61,232.64,-196.92,825.8,3,1175.2
224.78,6.6,Rest,-20.32,2147.67,-239.02,-21418.89,11.96,808.36,7.66,Medium,15.52,-85.59,-303.33,2111.52,-71.7,-12616.7,-21266.1,24.36,63.66,1557.03,-10.03,4,1985.13,34269.66,165.33,809.92,1403.46,288.06,-6386.85,2.17,-131.06,205.24,-79,856.46,5,-1295.47
